type,neighborhood,address,price,beds,baths,sqft,url
Rental Unit,Manhattanville,3333C Broadway #C5B,"$2,575",Studio,1 Bath,NA,https://streeteasy.com/building/3333c-broadway-manhattanville/c5b?featured=1
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
Co-op,Rego Park,98-19 64th Avenue #8,"$2,100",1 Bed,1 Bath,NA,https://streeteasy.com/building/98_19-64-avenue-rego_park/8
Rental Unit,Kew Gardens,132-77 Metropolitan Avenue #4F,"$2,288",Studio,1 Bath,NA,https://streeteasy.com/building/the-metropolitan-132_77-metropolitan-avenue-kew_gardens/4f
Co-op,Forest Hills,111-35 75 Road #A28,"$1,700",Studio,1 Bath,NA,https://streeteasy.com/building/111_35-75-road-forest_hills/a28
Rental Unit,Kew Gardens,83-61 116th Street #O,"$3,200",1 Bed,1 Bath,NA,https://streeteasy.com/building/83_61-116-street-kew_gardens/o
Rental Unit,Kew Gardens,83-61 116th Street #S,"$2,375",Studio,1 Bath,NA,https://streeteasy.com/building/83_61-116-street-kew_gardens/s
Rental Unit,Rego Park,93-54 Queens Boulevard #5G,"$1,900",Studio,1 Bath,NA,https://streeteasy.com/building/93_54-queens-boulevard-rego_park/5g
Rental Unit,East Harlem,172 East 106th Street #3F,"$2,200",1 Bed,1 Bath,NA,https://streeteasy.com/building/172-east-106-street-new_york/3f
Rental Unit,Kensington,567 Ocean Parkway #2D,"$2,350",1 Bed,2 Baths,714,https://streeteasy.com/building/567-ocean-parkway-brooklyn/2d
Co-op,Hudson Heights,225 Bennett Avenue #2,"$2,050",Studio,1 Bath,NA,https://streeteasy.com/building/225-bennett-avenue-new_york/00002
Rental Unit,Fort Hamilton,302 Marine Avenue #C3,"$1,795",1 Bed,1 Bath,NA,https://streeteasy.com/building/302-marine-avenue-brooklyn/c3
Rental Unit,Fort Hamilton,146 92nd Street #C10,"$1,995",1 Bed,1 Bath,NA,https://streeteasy.com/building/146-92-street-brooklyn/c10
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
Rental Unit,Woodside,46-09 69th Street #209,"$2,700",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/209?featured=1
